name,start,end,order
William A. Egan 1,1959-01-03 ,1966-12-05 ,1
Wally Hickel 1,1966-12-05 ,1969-01-29 ,2
Keith Harvey Miller,1969-01-29 ,1970-12-07 ,3
William A. Egan 2,1970-12-07 ,1974-12-02 ,4
Jay Hammond,1974-12-02 ,1982-12-06 ,5
Bill Sheffield,1982-12-06 ,1986-12-01 ,6
Steve Cowper,1986-12-01 ,1990-12-03 ,7
Wally Hickel 2,1990-12-03 ,1994-12-05 ,8
Tony Knowles,1994-12-05 ,2002-12-02 ,9
Frank Murkowski,2002-12-02 ,2006-12-04 ,10
Sarah Palin,2006-12-04 ,2009-07-26 ,11
Sean Parnell,2009-07-26 ,2014-12-01 ,12
Bill Walker,2014-12-01 ,2018-12-02 ,13
Mike Dunleavy,2018-12-03 ,2022-12-02 ,14
,,,
,,,
,,,
,,,
,,,
,,,
,,,
