date,ans,wti,henry_hub,brent,production
9/1/2000,31.47,33.38,,,"879,755"
9/2/2000,,,,,"914,581"
9/3/2000,,,,,"911,258"
9/4/2000,,,,,"929,777"
9/5/2000,31.92,33.83,,,"938,258"
9/6/2000,33.31,34.90,,,"945,250"
9/7/2000,33.80,35.39,,,"938,214"
9/8/2000,32.04,33.63,,,"947,704"
9/9/2000,,,,,"947,564"
9/10/2000,,,,,"908,514"
9/11/2000,33.55,35.14,,,"903,032"
9/12/2000,32.58,34.28,,,"918,170"
9/13/2000,32.23,33.82,,,"922,489"
9/14/2000,32.48,34.07,,,"928,084"
9/15/2000,34.34,35.93,,,"882,000"
9/16/2000,,,,,"310,488"
9/17/2000,,,,,"504,870"
9/18/2000,35.30,36.89,,,"953,028"
9/19/2000,34.93,36.52,,,"989,734"
9/20/2000,35.62,37.21,,,"966,671"
9/21/2000,32.78,34.37,,,"961,092"
9/22/2000,31.01,32.60,,,"965,063"
9/23/2000,,,,,"981,984"
9/24/2000,,,,,"990,840"
9/25/2000,30.03,31.62,,,"991,790"
9/26/2000,29.91,31.50,,,"951,810"
9/27/2000,29.87,31.46,,,"995,284"
9/28/2000,28.75,30.34,,,"994,815"
9/29/2000,29.25,30.84,,,"989,149"
9/30/2000,,,,,"986,500"
10/1/2000,,,,,"988,701"
10/2/2000,30.59,32.18,,,"986,666"
10/3/2000,30.62,32.07,,,"970,362"
10/4/2000,29.98,31.43,,,"961,563"
10/5/2000,29.08,30.53,,,"997,686"
10/6/2000,29.41,30.86,,,"995,641"
10/7/2000,,,,,"739,828"
10/8/2000,,,,,"1,070,794"
10/9/2000,30.41,31.86,,,"1,004,817"
10/10/2000,31.73,33.18,,,"991,926"
10/11/2000,31.80,33.25,,,"1,007,884"
10/12/2000,34.61,36.06,,,"996,706"
10/13/2000,33.54,34.99,,,"993,887"
10/14/2000,,,,,"976,915"
10/15/2000,,,,,"996,192"
10/16/2000,31.47,32.92,,,"992,545"
10/17/2000,31.54,32.99,,,"993,313"
10/18/2000,32.03,33.48,,,"976,730"
10/19/2000,31.46,32.91,,,"997,931"
10/20/2000,32.30,33.75,,,"1,007,338"
10/21/2000,,,,,"1,004,160"
10/22/2000,,,,,"993,619"
10/23/2000,33.46,34.91,,,"985,765"
10/24/2000,32.67,34.12,,,"1,023,914"
10/25/2000,32.11,33.56,,,"1,012,005"
10/26/2000,32.26,33.71,,,"1,004,330"
10/27/2000,31.29,32.74,,,"1,016,211"
10/28/2000,,,,,"1,021,075"
10/29/2000,,,,,"1,061,454"
10/30/2000,31.36,32.81,,,"1,011,848"
10/31/2000,31.25,32.70,,,"1,011,034"
11/1/2000,31.80,33.25,,,"993,417"
11/2/2000,31.09,32.54,,,"1,008,912"
11/3/2000,31.26,32.71,,,"1,011,165"
11/4/2000,,,,,"1,025,627"
11/5/2000,,,,,"1,023,844"
11/6/2000,31.41,32.86,,,"1,014,581"
11/7/2000,31.95,33.40,,,"1,019,447"
11/8/2000,31.62,33.24,,,"993,192"
11/9/2000,32.30,33.92,,,"1,009,538"
11/10/2000,32.40,34.02,,,"990,589"
11/11/2000,,,,,"983,701"
11/12/2000,,,,,"962,571"
11/13/2000,32.85,34.47,,,"986,128"
11/14/2000,33.25,34.87,,,"969,227"
11/15/2000,33.96,35.58,,,"958,098"
11/16/2000,33.50,35.12,,,"991,409"
11/17/2000,33.83,35.45,,,"1,012,880"
11/18/2000,,,,,"983,444"
11/19/2000,,,,,"996,821"
11/20/2000,34.50,36.12,,,"759,300"
11/21/2000,34.14,35.76,,,"1,008,060"
11/22/2000,34.38,36.00,,,"1,024,035"
11/23/2000,,,,,"1,023,050"
11/24/2000,,,,,"1,022,290"
11/25/2000,,,,,"1,025,628"
11/26/2000,,,,,"1,069,179"
11/27/2000,33.76,35.38,,,"1,063,131"
11/28/2000,32.60,34.22,,,"1,059,185"
11/29/2000,33.01,34.63,,,"1,056,807"
11/30/2000,32.20,33.82,,,"1,058,574"
12/1/2000,30.40,32.02,,,"1,064,559"
12/2/2000,,,,,"1,063,983"
12/3/2000,,,,,"1,056,691"
12/4/2000,29.60,31.22,,,"1,026,561"
12/5/2000,26.63,29.53,,,"1,031,635"
12/6/2000,26.95,29.85,,,"1,035,894"
12/7/2000,26.45,29.35,,,"1,025,374"
12/8/2000,25.54,28.44,,,"1,044,516"
12/9/2000,,,,,"1,033,718"
12/10/2000,,,,,"1,054,789"
12/11/2000,25.00,29.50,,,"1,055,300"
12/12/2000,25.18,29.68,,,"1,020,016"
12/13/2000,24.24,28.74,,,"1,031,530"
12/14/2000,23.49,27.99,,,"1,021,096"
12/15/2000,24.37,28.87,,,"1,008,313"
12/16/2000,,,,,"983,295"
12/17/2000,,,,,"1,007,593"
12/18/2000,25.26,29.76,,,"1,014,182"
12/19/2000,24.83,29.33,,,"1,012,290"
12/20/2000,21.47,25.97,,,"1,047,609"
12/21/2000,20.22,25.98,,,"1,044,081"
12/22/2000,20.30,26.06,,,"1,027,983"
12/23/2000,,,,,"1,031,302"
12/24/2000,,,,,"1,032,761"
12/25/2000,,,,,"1,038,624"
12/26/2000,20.88,26.64,,,"1,059,261"
12/27/2000,20.71,26.47,,,"1,054,496"
12/28/2000,20.09,25.85,,,"1,076,988"
12/29/2000,21.04,26.80,,,"1,043,361"
12/30/2000,,,,,"1,055,155"
12/31/2000,,,,,"1,067,820"
1/1/2001,,,,,"1,059,687"
1/2/2001,21.45,27.21,,,"1,067,766"
1/3/2001,22.24,28.00,,,"1,062,599"
1/4/2001,22.59,28.14,,,"1,022,026"
1/5/2001,22.40,27.95,,,"1,038,011"
1/6/2001,,,,,"1,051,814"
1/7/2001,,,,,"1,028,983"
1/8/2001,21.77,27.32,,,"1,002,938"
1/9/2001,22.54,27.64,,,"1,058,775"
1/10/2001,24.38,29.48,,,"1,063,086"
1/11/2001,24.31,29.41,,,"989,428"
1/12/2001,24.95,30.05,,,"1,012,722"
1/13/2001,,,,,"1,002,258"
1/14/2001,,,,,"963,248"
1/15/2001,,,,,"979,599"
1/16/2001,25.19,30.29,,,"971,900"
1/17/2001,24.50,29.60,,,"1,023,889"
1/18/2001,25.35,30.45,,,"1,012,512"
1/19/2001,27.09,32.19,,,"1,009,900"
1/20/2001,,,,,"1,009,088"
1/21/2001,,,,,"1,029,803"
1/22/2001,27.09,32.19,,,"1,008,754"
1/23/2001,26.22,31.32,,,"1,037,355"
1/24/2001,26.10,31.20,,,"1,010,009"
1/25/2001,26.46,31.56,,,"1,023,541"
1/26/2001,25.22,29.77,,,"1,014,198"
1/27/2001,,,,,"1,021,487"
1/28/2001,,,,,"1,014,462"
1/29/2001,24.81,29.06,,,"1,014,720"
1/30/2001,24.81,29.06,,,"1,034,611"
1/31/2001,24.41,28.66,,,"1,014,056"
2/1/2001,26.07,29.82,,,"1,036,451"
2/2/2001,27.44,31.19,,,"1,036,970"
2/3/2001,,,,,"1,019,253"
2/4/2001,,,,,"1,022,856"
2/5/2001,26.80,30.55,,,"1,016,790"
2/6/2001,26.60,30.35,,,"1,010,379"
2/7/2001,27.52,31.27,,,"1,006,241"
2/8/2001,27.84,31.59,,,"967,678"
2/9/2001,27.28,31.03,,,"988,505"
2/10/2001,,,,,"994,719"
2/11/2001,,,,,"1,007,627"
