name,month,price,priceOrg,percentChange,start,end,order,startDate,endDate,startMonth,endMonth,secondYear,firstYear,fourthYear
William A. Egan 1,m001,3,3,0,"January 3, 1959","December 5, 1966",1,1959-01-03,1966-12-05,1959-01-01,1966-12-01,1961-01-02,1960-01-03,1963-01-02
Wally Hickel 1,m001,2.97,2.97,0,"December 5, 1966","January 29, 1969",2,1966-12-05,1969-01-29,1966-12-01,1969-02-01,1968-12-04,1967-12-05,1970-12-04
Keith Harvey Miller,m001,3.07,3.07,0,"January 29, 1969","December 7, 1970",3,1969-01-29,1970-12-07,1969-02-01,1970-12-01,1971-01-29,1970-01-29,1973-01-28
William A. Egan 2,m001,3.56,3.56,0,"December 7, 1970","December 2, 1974",4,1970-12-07,1974-12-02,1970-12-01,1974-12-01,1972-12-06,1971-12-07,1974-12-06
Jay Hammond,m001,11.16,11.16,0,"December 2, 1974","December 6, 1982",5,1974-12-02,1982-12-06,1974-12-01,1982-12-01,1976-12-01,1975-12-02,1978-12-01
Bill Sheffield,m001,31.72,31.72,0,"December 6, 1982","December 1, 1986",6,1982-12-06,1986-12-01,1982-12-01,1986-12-01,1984-12-05,1983-12-06,1986-12-05
Steve Cowper,m001,16.076,16.076,0,"December 1, 1986","December 3, 1990",7,1986-12-01,1990-12-03,1986-12-01,1990-12-01,1988-11-30,1987-12-01,1990-11-30
Wally Hickel 2,m001,27.337,27.337,0,"December 3, 1990","December 5, 1994",8,1990-12-03,1994-12-05,1990-12-01,1994-12-01,1992-12-02,1991-12-03,1994-12-02
Tony Knowles,m001,17.16,17.16,0,"December 5, 1994","December 2, 2002",9,1994-12-05,2002-12-02,1994-12-01,2002-12-01,1996-12-04,1995-12-05,1998-12-04
Frank Murkowski,m001,29.42,29.42,0,"December 2, 2002","December 4, 2006",10,2002-12-02,2006-12-04,2002-12-01,2006-12-01,2004-12-01,2003-12-02,2006-12-01
Sarah Palin,m001,62.03,62.03,0,"December 4, 2006","July 26, 2009",11,2006-12-04,2009-07-26,2006-12-01,2009-08-01,2008-12-03,2007-12-04,2010-12-03
Sean Parnell,m001,71.06,71.06,0,"July 26, 2009","December 1, 2014",12,2009-07-26,2014-12-01,2009-08-01,2014-12-01,2011-07-26,2010-07-26,2013-07-25
